feature,importance
num__por1,0.4412037324659505
num__bubblePointPressure,0.39594535484641197
num__perm4,0.385596212293345
num__production1_rate,0.3786149542519406
num__production2_rate,0.3747572735051587
cat__injection_layer3_status_OPEN,0.3739609758049114
num__por3,0.3474103275449409
num__perm_ratio,0.34274467271748943
num__por4,0.34102931210451837
cat__injectionLayer2_status_OPEN,0.33204207561185717
num__perm1,0.3293403871617442
cat__injectionLayer2_status_CLOSED,0.3210131746005224
cat__injection_layer3_status_CLOSED,0.32061533381959
num__por2,0.312546208834193
num__perm2,0.3087964178096027
num__perm3,0.29766507558595307
num__production3_rate,0.2820750514900682
num__BHP_injectior,0.2642780574221344
